Região Geográfica,UF,Regional de Saúde,Município,Código IBGE,Tipo da Instituição,Sigla da Instituição,Nome da Instituição,CNPJ da Instituição,Nome do escritório regional/local,CNPJ do escritório regional/local,Tipo da Forma de Abastecimento,Código Forma de abastecimento,Nome da Forma de Abastecimento,Nome da ETA / UTA,Ano de referência,Mês de referência,Data de registro ,Data de preenchimento do relatório mensal,Data da coleta,Tipo de captação,Categoria do manancial superficial,Nome do manancial superficial,Categoria do ponto de captação subterrânea,Nome do ponto de captação subterrânea,Parâmetro,Unidade,Resultado
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000004,MOINHOS DE VENTO,MOINHOS DE VENTO,2014,1,2015/01/16 00:00:00.000,2014-01-31,2014-01-27,SUPERFICIAL,lago,GUAIBA,,,Cianobactérias,Total de cianobactérias,42
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000004,MOINHOS DE VENTO,MOINHOS DE VENTO,2014,3,2015/01/19 00:00:00.000,2014-03-31,2014-03-11,SUPERFICIAL,lago,GUAIBA,,,Cianobactérias,Total de cianobactérias,79
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000004,MOINHOS DE VENTO,MOINHOS DE VENTO,2014,6,2015/01/21 00:00:00.000,2014-06-30,2014-06-16,SUPERFICIAL,lago,GUAIBA,,,Cianobactérias,Total de cianobactérias,380
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000004,MOINHOS DE VENTO,MOINHOS DE VENTO,2014,10,2015/01/22 00:00:00.000,2014-10-31,2014-10-20,SUPERFICIAL,lago,GUAIBA,,,Cianobactérias,Total de cianobactérias,133
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000004,MOINHOS DE VENTO,MOINHOS DE VENTO,2014,7,2015/01/21 00:00:00.000,2014-07-31,2014-07-09,SUPERFICIAL,lago,GUAIBA,,,Cianobactérias,Total de cianobactérias,14
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000001,BELEM NOVO,BELÉM NOVO,2014,12,2014/12/12 00:00:00.000,2014-12-12,2014-12-01,SUPERFICIAL,lago,GUAIBA,,,Cianobactérias,Total de cianobactérias,0
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000001,BELEM NOVO,BELÉM NOVO,2014,8,2015/01/21 00:00:00.000,2014-08-31,2014-08-12,SUPERFICIAL,lago,GUAIBA,,,Cianobactérias,Total de cianobactérias,0
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000001,BELEM NOVO,BELÉM NOVO,2014,4,2015/01/20 00:00:00.000,2014-04-30,2014-04-09,SUPERFICIAL,lago,GUAIBA,,,Cianobactérias,Total de cianobactérias,160
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000001,BELEM NOVO,BELÉM NOVO,2014,4,2015/01/20 00:00:00.000,2014-04-30,2014-04-29,SUPERFICIAL,lago,GUAIBA,,,Cianobactérias,Total de cianobactérias,22
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000001,BELEM NOVO,BELÉM NOVO,2014,6,2015/01/21 00:00:00.000,2014-06-30,2014-06-09,SUPERFICIAL,lago,GUAIBA,,,Cianobactérias,Total de cianobactérias,11
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000001,BELEM NOVO,BELÉM NOVO,2014,10,2015/01/22 00:00:00.000,2014-10-31,2014-10-15,SUPERFICIAL,lago,GUAIBA,,,Cianobactérias,Total de cianobactérias,16
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000001,BELEM NOVO,BELÉM NOVO,2014,10,2015/01/22 00:00:00.000,2014-10-31,2014-10-28,SUPERFICIAL,lago,GUAIBA,,,Cianobactérias,Total de cianobactérias,0
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000001,BELEM NOVO,BELÉM NOVO,2014,9,2015/01/22 00:00:00.000,2014-09-30,2014-09-08,SUPERFICIAL,lago,GUAIBA,,,Cianobactérias,Total de cianobactérias,0
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000003,JOSE LOUREIRO DA SILVA,JOSÉ LOUREIRO DA SILVA,2014,2,2015/01/19 00:00:00.000,2014-02-28,2014-02-27,SUPERFICIAL,lago,GUAIBA,,,Cianobactérias,Total de cianobactérias,0
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000003,JOSE LOUREIRO DA SILVA,JOSÉ LOUREIRO DA SILVA,2014,10,2015/01/22 00:00:00.000,2014-10-31,2014-10-16,SUPERFICIAL,lago,GUAIBA,,,Cianobactérias,Total de cianobactérias,96
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000003,JOSE LOUREIRO DA SILVA,JOSÉ LOUREIRO DA SILVA,2014,12,2015/01/23 00:00:00.000,2014-12-31,2014-12-11,SUPERFICIAL,lago,GUAIBA,,,Cianobactérias,Total de cianobactérias,19
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000003,JOSE LOUREIRO DA SILVA,JOSÉ LOUREIRO DA SILVA,2014,12,2015/01/23 00:00:00.000,2014-12-31,2014-12-17,SUPERFICIAL,lago,GUAIBA,,,Cianobactérias,Total de cianobactérias,10
